crop;yield;region;categorie
P.virgatum;6.03;Europe;perennial
P.virgatum;9.39;Europe;perennial
P.virgatum;1.11;Europe;perennial
P.virgatum;4.14;Europe;perennial
P.virgatum;5.28;Europe;perennial
P.virgatum;5.4;Europe;perennial
P.virgatum;8.45;Europe;perennial
P.virgatum;8.16;Europe;perennial
P.virgatum;16.54;Europe;perennial
P.virgatum;18.82;Europe;perennial
P.virgatum;2.15;Europe;perennial
P.virgatum;5.83;Europe;perennial
P.virgatum;7.1;Europe;perennial
P.virgatum;12.48;Europe;perennial
P.virgatum;12.66;Europe;perennial
P.virgatum;9.71;Europe;perennial
P.virgatum;7.48;Europe;perennial
P.virgatum;10.72;Europe;perennial
P.virgatum;11.56;Europe;perennial
P.virgatum;2.42;Europe;perennial
P.virgatum;6.94;Europe;perennial
P.virgatum;8.48;Europe;perennial
P.virgatum;9.91;Europe;perennial
P.virgatum;13.38;Europe;perennial
P.virgatum;8.62;Europe;perennial
P.virgatum;7.48;Europe;perennial
P.virgatum;9.53;Europe;perennial
P.virgatum;14.81;Europe;perennial
P.virgatum;1.34;Europe;perennial
P.virgatum;6.1;Europe;perennial
P.virgatum;6.98;Europe;perennial
P.virgatum;7.36;Europe;perennial
P.virgatum;10.2;Europe;perennial
P.virgatum;9.95;Europe;perennial
P.virgatum;8.22;Europe;perennial
P.virgatum;7.35;Europe;perennial
P.virgatum;11.66;Europe;perennial
P.virgatum;1.53;Europe;perennial
P.virgatum;7.24;Europe;perennial
P.virgatum;7.35;Europe;perennial
P.virgatum;11.72;Europe;perennial
P.virgatum;10.05;Europe;perennial
P.virgatum;7.16;Europe;perennial
P.virgatum;9.53;Europe;perennial
P.virgatum;9.65;Europe;perennial
P.virgatum;16.88;Europe;perennial
P.virgatum;1.55;Europe;perennial
P.virgatum;6.18;Europe;perennial
P.virgatum;8.59;Europe;perennial
P.virgatum;10.56;Europe;perennial
P.virgatum;15.12;Europe;perennial
P.virgatum;9.87;Europe;perennial
P.virgatum;10.31;Europe;perennial
P.virgatum;12.89;Europe;perennial
P.virgatum;17;Europe;perennial
P.virgatum;1.66;Europe;perennial
P.virgatum;7.45;Europe;perennial
P.virgatum;8.03;Europe;perennial
P.virgatum;10.11;Europe;perennial
P.virgatum;11.7;Europe;perennial
P.virgatum;8.53;Europe;perennial
P.virgatum;5.45;Europe;perennial
P.virgatum;5.53;Europe;perennial
P.virgatum;9.53;Europe;perennial
P.virgatum;1.35;Europe;perennial
P.virgatum;4.22;Europe;perennial
P.virgatum;5.7;Europe;perennial
P.virgatum;5.37;Europe;perennial
P.virgatum;9.18;Europe;perennial
P.virgatum;5.84;Europe;perennial
P.virgatum;11.88;Europe;perennial
P.virgatum;19.24;Europe;perennial
P.virgatum;1.64;Europe;perennial
P.virgatum;5.11;Europe;perennial
P.virgatum;5.34;Europe;perennial
P.virgatum;10.78;Europe;perennial
P.virgatum;15.27;Europe;perennial
P.virgatum;6.83;Europe;perennial
P.virgatum;9.25;Europe;perennial
P.virgatum;8.2;Europe;perennial
P.virgatum;14.72;Europe;perennial
P.virgatum;2.06;Europe;perennial
P.virgatum;5.68;Europe;perennial
P.virgatum;8.22;Europe;perennial
P.virgatum;9.01;Europe;perennial
P.virgatum;10.6;Europe;perennial
P.virgatum;7.84;Europe;perennial
P.virgatum;7.66;Europe;perennial
P.virgatum;9.17;Europe;perennial
P.virgatum;15.86;Europe;perennial
P.virgatum;1.03;Europe;perennial
P.virgatum;6.87;Europe;perennial
P.virgatum;8.05;Europe;perennial
P.virgatum;8.6;Europe;perennial
P.virgatum;10.7;Europe;perennial
P.virgatum;7.49;Europe;perennial
P.virgatum;8.11;Europe;perennial
P.virgatum;8.23;Europe;perennial
P.virgatum;12.42;Europe;perennial
P.virgatum;1.47;Europe;perennial
P.virgatum;6.57;Europe;perennial
P.virgatum;8.72;Europe;perennial
P.virgatum;9.95;Europe;perennial
P.virgatum;15.75;Europe;perennial
P.virgatum;7.96;Europe;perennial
P.virgatum;8.73;Europe;perennial
P.virgatum;8.66;Europe;perennial
P.virgatum;12.99;Europe;perennial
P.virgatum;1.51;Europe;perennial
P.virgatum;7.05;Europe;perennial
P.virgatum;7.3;Europe;perennial
P.virgatum;9.27;Europe;perennial
P.virgatum;11.91;Europe;perennial
P.virgatum;8.65;Americas;perennial
P.virgatum;12.01;Americas;perennial
P.virgatum;12.12;Americas;perennial
P.virgatum;12.34;Americas;perennial
P.virgatum;8.31;Americas;perennial
P.virgatum;9.16;Americas;perennial
P.virgatum;11.94;Americas;perennial
P.virgatum;13.82;Americas;perennial
P.flaccidum;8.4;Americas;perennial
P.flaccidum;9.81;Americas;perennial
P.flaccidum;9.07;Americas;perennial
P.flaccidum;9.72;Americas;perennial
P.flaccidum;8.51;Americas;perennial
P.flaccidum;9.09;Americas;perennial
P.flaccidum;12.77;Americas;perennial
P.flaccidum;14;Americas;perennial
P.purpureum;52;Asia;perennial
P.purpureum;54.3;Asia;perennial
P.purpureum;35.5;Americas;perennial
P.purpureum;38.9;Americas;perennial
P.purpureum;26.11;Americas;perennial
P.purpureum;41.67;Americas;perennial
P.purpureum;28.72;Americas;perennial
P.purpureum;49.93;Americas;perennial
P.purpureum;36.81;Americas;perennial
P.purpureum;50.31;Americas;perennial
P.arundinacea;4;Europe;perennial
P.arundinacea;8.59;Europe;perennial
P.arundinacea;0.833;Europe;perennial
P.arundinacea;5.64;Europe;perennial
P.arundinacea;9.47;Europe;perennial
P.arundinacea;0.76;Europe;perennial
P.arundinacea;0.82;Europe;perennial
P.arundinacea;0.92;Europe;perennial
P.arundinacea;0.71;Europe;perennial
P.arundinacea;0.58;Europe;perennial
P.arundinacea;0.89;Europe;perennial
P.arundinacea;0.66;Europe;perennial
P.arundinacea;1.04;Europe;perennial
P.arundinacea;0.7;Europe;perennial
P.arundinacea;0.62;Europe;perennial
P.arundinacea;0.7;Europe;perennial
P.arundinacea;6.4;Americas;perennial
P.arundinacea;7.93;Americas;perennial
P.arundinacea;7.51;Americas;perennial
P.arundinacea;4.96;Americas;perennial
P.arundinacea;8.72;Americas;perennial
P.arundinacea;11.36;Americas;perennial
P.arundinacea;8.72;Americas;perennial
P.arundinacea;7.51;Americas;perennial
P.aru : S.bic;8.27;Americas;intercrops
P.aru : S.bic;9.48;Americas;intercrops
P.aru : S.bic;9.04;Americas;intercrops
P.aru : S.bic;9.26;Americas;intercrops
P.aru : S.bic;12.03;Americas;intercrops
P.aru : S.bic;11.81;Americas;intercrops
P.aru : S.bic;8.05;Americas;intercrops
P.aru : S.bic;7.83;Americas;intercrops
P.aru : S.bic;10.47;Americas;intercrops
P.aru : S.bic;11.14;Americas;intercrops
P.aru : S.bic;11.46;Americas;intercrops
P.aru : S.bic;11.14;Americas;intercrops
P.aru : S.bic;14.89;Americas;intercrops
P.aru : S.bic;14.89;Americas;intercrops
P.aru : S.bic;10.47;Americas;intercrops
P.aru : S.bic;10.92;Americas;intercrops
P.pratense;6.97;Europe;pluri-annual
